date,n,weekday,temperature,sunshinetime,precipitation,rainy_day,Feiertage,holiday,businessday
2013-07-03,2717,Wed,19.2,2.1,0.0,FALSE,NA,FALSE,TRUE
2013-07-04,2525,Thurs,17.7,1.9,0.0,FALSE,NA,FALSE,TRUE
2013-07-05,2989,Fri,17.9,9.5,0.0,FALSE,NA,FALSE,FALSE
2013-07-06,2624,Sat,16.8,15.7,0.0,FALSE,NA,FALSE,FALSE
2013-07-07,2245,Sun,18.3,15.8,0.0,FALSE,NA,FALSE,TRUE
2013-07-08,3511,Mon,18.7,15.4,0.0,FALSE,NA,FALSE,TRUE
2013-07-09,3626,Tues,19.0,14.8,0.0,FALSE,NA,FALSE,TRUE
2013-07-10,2721,Wed,17.7,7.7,0.0,FALSE,NA,FALSE,TRUE
2013-07-11,3401,Thurs,18.7,12.5,0.0,FALSE,NA,FALSE,TRUE
2013-07-12,3344,Fri,18.3,14.7,0.0,FALSE,NA,FALSE,FALSE
2013-07-13,2251,Sat,18.1,7.7,0.0,FALSE,NA,FALSE,FALSE
2013-07-14,1365,Sun,17.0,5.0,0.0,FALSE,NA,FALSE,TRUE
2013-07-15,2937,Mon,17.2,10.0,0.0,FALSE,NA,FALSE,TRUE
2013-07-16,3321,Tues,18.2,10.2,0.0,FALSE,NA,FALSE,TRUE
2013-07-17,3361,Wed,19.1,13.4,0.0,FALSE,NA,FALSE,TRUE
2013-07-18,3403,Thurs,19.9,15.2,0.0,FALSE,NA,FALSE,TRUE
2013-07-19,2660,Fri,19.1,5.8,0.0,FALSE,NA,FALSE,FALSE
2013-07-20,2623,Sat,19.9,15.7,0.0,FALSE,NA,FALSE,FALSE
2013-07-21,2153,Sun,21.2,15.6,0.0,FALSE,NA,FALSE,TRUE
2013-07-22,3368,Mon,20.9,14.7,0.0,FALSE,NA,FALSE,TRUE
2013-07-23,3368,Tues,21.4,15.4,0.0,FALSE,NA,FALSE,TRUE
2013-07-24,3299,Wed,20.2,13.9,4.1,TRUE,NA,FALSE,TRUE
2013-07-25,2805,Thurs,20.1,7.2,7.0,TRUE,NA,FALSE,TRUE
2013-07-26,3111,Fri,21.7,7.7,0.0,FALSE,NA,FALSE,FALSE
2013-07-27,2280,Sat,23.1,11.6,0.1,TRUE,NA,FALSE,FALSE
2013-07-28,1766,Sun,23.2,7.5,0.6,TRUE,NA,FALSE,TRUE
2013-07-29,2594,Mon,19.6,1.4,0.7,TRUE,NA,FALSE,TRUE
2013-07-30,3084,Tues,20.2,8.6,2.4,TRUE,NA,FALSE,TRUE
2013-07-31,2636,Wed,18.5,9.9,0.2,TRUE,NA,FALSE,TRUE
2013-08-01,3139,Thurs,19.7,2.0,0.1,TRUE,NA,FALSE,TRUE
